# Orbital elements in MPCORB format: the 242 numbered minor
# planets with H <= 8.6 among numbers 1-2241
# -- the prefix of MPCORB.DAT that the pipe in README.md downloads.
# Every object that can reach magnitude 10, the generator's publication
# cut, is a low-numbered main-belt asteroid; out beyond Jupiter it
# would take H < 2 to get there.
# Source: https://www.minorplanetcenter.net/iau/MPCORB/MPCORB.DAT
# (Minor Planet Center), elements for epoch 2026-06-09.
# Regenerate: see README.md.
00001    3.34  0.15 K2669 274.41935   73.29420   80.24863   10.58803  0.0796923  0.21430445   2.7655526  0 MPO980521  7297 126 1801-2026 0.83 M-v 30k Veres      4000      (1) Ceres              20260103
00002    4.12  0.15 K2669 254.24964  310.96993  172.88662   34.93279  0.2307001  0.21383960   2.7695590  0 MPO980521  9062 123 1804-2025 0.77 M-c 28k MPCORBFIT  4000      (2) Pallas             20251214
00003    5.19  0.15 K2669 262.73228  247.89506  169.81162   12.98659  0.2556999  0.22578537   2.6709895  0 E2026-M09  7646 119 1804-2026 0.84 M-v 3Ek MPCORBFIT  4000      (3) Juno               20260528
00004    3.25  0.15 K2669  81.19017  151.46861  103.70132    7.14393  0.0902037  0.27161836   2.3613660  0 MPO964264  7603 112 1821-2025 0.69 M-p 18k MPCORBFIT  4000      (4) Vesta              20250624
00005    6.94  0.15 K2669 181.47820  359.37562  141.44723    5.35968  0.1875740  0.23827641   2.5768077  0 E2026-O03  3568  91 1845-2026 0.86 M-v 3Ek MPCORBFIT  4000      (5) Astraea            20260715
00006    5.62  0.15 K2669  44.72119  239.73045  138.61332   14.73627  0.2022550  0.26089083   2.4256614  0 MPO980521  6000 105 1848-2026 0.77 M-v 3Ek MPCLINUX   4007      (6) Hebe               20260216
00007    5.71  0.15 K2669 115.29166  145.40717  259.48510    5.51857  0.2302746  0.26746545   2.3857463  0 E2026-N08  5483  92 1848-2026 0.83 M-v 3Ek MPCORBFIT  0000      (7) Iris               20260704
00008    6.61  0.15 K2669 259.26212  285.40831  110.84335    5.89032  0.1561964  0.30172278   2.2015606  0 E2026-N41  2816  96 1847-2026 0.85 M-v 3Ek MPCORBFIT  0000      (8) Flora              20260709
00009    6.18  0.15 K2669 252.61680    5.93234   68.86581    5.57731  0.1224892  0.26732751   2.3865669  0 E2026-N41  3540  89 1822-2026 0.80 M-v 3Ek MPCORBFIT  0000      (9) Metis              20260708
00010    5.65  0.15 K2669 252.03442  312.42426  283.11987    3.82953  0.1067093  0.17621255   3.1509741  0 MPO980521  4272 101 1849-2026 0.79 M-v 3Ek MPCORBFIT  0000     (10) Hygiea             20260407
00011    6.73  0.15 K2669 224.94245  196.45557  125.46946    4.63618  0.1008882  0.25665783   2.4522592  0 E2026-N08  9938 107 1850-2026 0.62 M-v 3Ek MPCORBFIT  0000     (11) Parthenope         20260704
00012    7.30  0.15 K2669 132.13512   69.63348  235.34570    8.37153  0.2197047  0.27629881   2.3346227  0 MPO980521  3800  84 1850-2026 0.87 M-v 3Ek MPCORBFIT  0000     (12) Victoria           20260329
00013    6.92  0.15 K2669  88.61668   79.11880   43.17726   16.52511  0.0846050  0.23833803   2.5763636  0 E2026-N64  3310  77 1850-2026 0.85 M-v 3Ek MPCORBFIT  0000     (13) Egeria             20260708
00014    6.54  0.15 K2669  60.22804   98.30620   86.01072    9.12924  0.1627828  0.23668449   2.5883491  0 E2026-L96  3064  86 1851-2026 0.89 M-v 3Ek MPCORBFIT  0000     (14) Irene              20260614
00015    5.42  0.15 K2669 159.68910   98.46132  292.88078   11.76139  0.1877708  0.22951709   2.6419587  0 E2026-N08  4643  87 1851-2026 0.64 M-v 3Ek MPCORBFIT  0000     (15) Eunomia            20260704
00016    6.20  0.15 K2669  79.76940  230.03267  149.97539    3.09875  0.1349325  0.19694948   2.9257205  0 MPO980521  7766  96 1852-2026 0.60 M-v 3Ek MPCORBFIT  0000     (16) Psyche             20260405
00017    7.91  0.15 K2669 243.07058  136.16115  125.49572    5.59611  0.1308313  0.25344485   2.4729409  0 MPO980521 10807  98 1852-2026 0.57 M-v 3Ek Veres      0000     (17) Thetis             20260407
00018    6.35  0.15 K2669 283.95418  228.03048  150.32444   10.13102  0.2178488  0.28333268   2.2958223  0 E2026-N41  5874  87 1852-2026 0.78 M-v 3Ek MPCORBFIT  0000     (18) Melpomene          20260709
00019    7.48  0.15 K2669 148.26220  182.43593  210.99217    1.57353  0.1581145  0.25835468   2.4415099  0 E2026-N35  9025  98 1852-2026 0.60 M-v 3Ek MPCORBFIT  0000     (19) Fortuna            20260706
00020    6.54  0.15 K2669  82.80148  257.19553  205.94781    0.70934  0.1436089  0.26377388   2.4079541  0 E2026-N64  9482  95 1856-2026 0.50 M-v 3Ek MPCORBFIT  0000     (20) Massalia           20260707
